state,model,step,abs_error,pct_error
Texas,arima,1,123613274.29439509,13.013699081230746
Texas,arima,2,164488583.73031497,18.478464633856902
Texas,arima,3,172893054.1387545,19.577021368156323
Texas,arima,4,246780731.91875708,30.49863124818663
Texas,arima,5,246788200.54241133,30.499554265137718
Texas,arima,6,224927390.81075966,27.066627592489787
Texas,arima,7,251977552.32694638,31.341910307268865
Texas,arima,8,249977510.16485214,31.0159784033192
Texas,sarima,1,431100587.07914567,45.38520111221011
Texas,sarima,2,144448021.11539125,16.227130108844428
Texas,sarima,3,134087849.17924416,15.183031508515496
Texas,sarima,4,211947696.48875666,26.193757465802587
Texas,sarima,5,346575526.21177816,42.831865727098375
Texas,sarima,6,261711900.33895934,31.49308991432341
Texas,sarima,7,280250172.5817245,34.85856454886168
Texas,sarima,8,287384827.0575535,35.65729406449613
Texas,prophet,1,122778578.8075031,12.925824409575307
Texas,prophet,2,242966287.31997263,27.294562611242146
Texas,prophet,3,241059971.5985855,27.295695819019215
Texas,prophet,4,227717820.74057996,28.142723256425107
Texas,prophet,5,142468260.8780849,17.60707539566588
Texas,prophet,6,118351748.58151662,14.24185241392421
Texas,prophet,7,219790449.21618295,27.33835804861602
Texas,prophet,8,287621814.41843796,35.68669828914899
Texas,xgboost,1,132695121.69999993,13.96981346225363
Texas,xgboost,2,72988427.0,8.199438747746846
Texas,xgboost,3,65967528.400000095,7.469633291657949
Texas,xgboost,4,8021802.600000024,0.9913820967339066
Texas,xgboost,5,8021802.600000024,0.9913820967339066
Texas,xgboost,6,13838458.400000095,1.6652502775088749
Texas,xgboost,7,13211662.799999952,1.6433160282079529
Texas,xgboost,8,11211623.600000024,1.3910830426882066
California,arima,1,124955429.8893522,13.970709977435508
California,arima,2,198811256.19964576,24.77275062473081
California,arima,3,187416183.13052619,22.985454259908604
California,arima,4,246091165.62267244,32.52680516640611
California,arima,5,246100242.42034328,32.52800488127043
California,arima,6,235680082.43962467,30.72755991564456
California,arima,7,237692178.0146786,31.07140181897041
California,arima,8,224361717.5411359,28.826505429168748
California,sarima,1,415666430.8342601,46.473811963861266
California,sarima,2,167947441.11511612,20.926984499451333
California,sarima,3,135202049.48591423,16.58170853975846
California,sarima,4,200906327.0515033,26.554553228953694
California,sarima,5,339665062.84774506,44.89482299427093
California,sarima,6,262701469.34240007,34.25056142032855
California,sarima,7,261811319.65271902,34.2242844574472
California,sarima,8,247218718.41143823,31.763225057201904
California,prophet,1,113839367.87491381,12.727872602281634
California,prophet,2,256828429.85049796,32.00194379154521
California,prophet,3,230813737.9211533,28.30790024066534
California,prophet,4,207305792.81475246,27.400394954005503
California,prophet,5,131635736.32015729,17.398795838072505
California,prophet,6,124294919.80601227,16.205355819696308
California,prophet,7,197814050.43421173,25.858485953626563
California,prophet,8,247039042.40261567,31.740139873594924
California,xgboost,1,101425160.30000007,11.339895354855257
California,xgboost,2,9555234.600000143,1.1906239537508883
California,xgboost,3,22383768.80000019,2.745233017356078
California,xgboost,4,36405280.49999988,4.811824361332392
California,xgboost,5,36405280.49999988,4.811824361332392
California,xgboost,6,25985842.799999952,3.3879890626738485
California,xgboost,7,27997880.899999857,3.6599160089729583
California,xgboost,8,14667425.0,1.8845042328440218
Florida,arima,1,139132532.72615016,19.958309004226265
Florida,arima,2,114491248.49075651,16.110573863108023
Florida,arima,3,120578722.26373601,17.099412758936854
Florida,arima,4,140772346.7283951,20.552573617261448
Florida,arima,5,140774025.96266818,20.55281878321073
Florida,arima,6,142961505.0813564,20.939063413515363
Florida,arima,7,156461728.44954443,23.37866629030554
Florida,arima,8,150746001.89546227,22.333874434244645
Florida,sarima,1,339799211.76659596,48.7435794845959
Florida,sarima,2,104821944.42406845,14.749962991755652
Florida,sarima,3,99513135.18753254,14.112076671252488
Florida,sarima,4,125658615.20661426,18.345989107220955
Florida,sarima,5,231432411.4129784,33.788821338346985
Florida,sarima,6,188875621.15080917,27.663940767084522
Florida,sarima,7,195698346.8066448,29.241440631485943
Florida,sarima,8,197270756.4368347,29.226780467876196
Florida,prophet,1,135835926.03536737,19.485416764640977
Florida,prophet,2,175046235.85118914,24.631536028426584
Florida,prophet,3,186751639.84393215,26.483473312273688
Florida,prophet,4,151331737.30337906,22.09423046386141
Florida,prophet,5,88371166.80917823,12.902071704417864
Florida,prophet,6,83513823.41137457,12.231972818981912
Florida,prophet,7,148984520.44282484,22.261414470933815
Florida,prophet,8,198049218.7371273,29.342114069085635
Florida,xgboost,1,69137640.0,9.917668829179629
Florida,xgboost,2,82680837.10000002,11.634389097177978
Florida,xgboost,3,77184746.79999983,10.945661219899664
Florida,xgboost,4,56959609.29999995,8.316026482156841
Florida,xgboost,5,56959609.29999995,8.316026482156841
Florida,xgboost,6,54772040.69999981,8.022266083812406
Florida,xgboost,7,41271822.100000024,6.166876498363054
Florida,xgboost,8,46987548.39999986,6.9614715663658275
Colorado,arima,1,17432908.335152924,9.211000391487236
Colorado,arima,2,30233317.70937276,17.532773365822532
Colorado,arima,3,28661589.842353553,16.43902900452346
Colorado,arima,4,45759994.351575345,29.1050266002519
Colorado,arima,5,45762429.01946288,29.106575137891237
Colorado,arima,6,38849819.97382867,23.6692742152565
Colorado,arima,7,45713934.2945227,29.066800091988604
Colorado,arima,8,43008060.22092712,26.883757610829456
Colorado,sarima,1,80649080.38153577,42.61243716112817
Colorado,sarima,2,28138755.40321943,16.31810395483043
Colorado,sarima,3,22426322.4775241,12.862753521370674
Colorado,sarima,4,40547895.611723244,25.78994156547168
Colorado,sarima,5,66034339.680895895,42.00025022241681
Colorado,sarima,6,48922746.92566344,29.806210508238983
Colorado,sarima,7,53366964.04116511,33.93291124992388
Colorado,sarima,8,52406495.516486585,32.75859258615675
Colorado,prophet,1,20048451.906630844,10.592971339631024
Colorado,prophet,2,49539757.12165573,28.728879263641442
Colorado,prophet,3,44693381.479254484,25.634160508500415
Colorado,prophet,4,42889190.61071539,27.279090639686043
Colorado,prophet,5,25708221.14776805,16.35136697356669
Colorado,prophet,6,19603738.237458676,11.943588317760497
Colorado,prophet,7,42433463.21462008,26.98094162107366
Colorado,prophet,8,53212203.80020636,33.26222995304316
Colorado,xgboost,1,30121225.799999982,15.915108213837886
Colorado,xgboost,2,13298269.300000012,7.711874165973327
Colorado,xgboost,3,15210259.599999994,8.723936812508619
Colorado,xgboost,4,1916927.300000012,1.2192357286715592
Colorado,xgboost,5,1916927.300000012,1.2192357286715592
Colorado,xgboost,6,4995475.800000012,3.043496382364975
Colorado,xgboost,7,1868621.1000000238,1.1881461702997718
Colorado,xgboost,8,837251.4999999702,0.5233546053851151
Kentucky,arima,1,30967457.11670631,17.84333257042625
